student number,exam01,exam02,exam03,exam04,homework
s1,100,100,100,100,40
s2,100,100,100,100,40
s3,20,100,100,40,4
s4,100,100,100,40,40
s5,100,30,100,40,33
s6,100,100,100,100,40
s7,0,20,40,60,3
s8,100,100,100,80,40
s9,40,100,60,80,2
s10,100,100,60,100,33
s11,100,100,100,100,22
s12,40,30,40,10,30
s13,100,100,100,100,40
s14,100,80,100,100,40
s15,100,40,60,100,40
s16,100,30,100,40,39
s17,100,100,100,100,22
s18,0,20,40,60,12
s19,100,100,100,80,31
s20,40,100,60,80,33
s21,100,100,60,100,12
s22,80,80,50,60,10
s23,100,40,60,100,39
s24,100,30,100,40,22
s25,100,100,100,100,12
s26,0,20,40,60,40
s27,100,100,100,80,40
s28,0,0,0,0,40
s29,80,0,0,20,40
s30,20,100,100,40,39
s31,100,100,100,40,38
s32,100,30,100,40,37
s33,100,100,100,100,40
s34,100,100,100,40,40
s35,100,30,100,40,40
