student number,exam01,exam02,exam03,exam04,homework
s1,100,40,60,100,39
s2,100,30,100,40,22
s3,100,80,100,100,22
s4,100,40,60,100,30
s5,100,30,100,40,40
s6,100,100,100,100,39
s7,40,30,40,10,22
s8,100,100,100,80,12
s9,40,100,60,80,2
s10,100,100,60,100,33
s11,100,100,100,100,22
s12,40,30,40,10,30
s13,100,100,100,100,40
s14,100,80,100,100,40
s15,100,40,60,100,40
s16,100,30,100,40,39
s17,100,100,100,100,22
s18,0,20,40,60,12
s19,100,100,100,80,31
s20,40,100,60,80,33
s21,100,100,60,100,12
s22,80,80,50,60,10
s25,100,100,100,100,40
s27,0,20,40,60,40
s29,100,100,100,100,40
s30,0,20,40,60,40
s31,100,100,100,80,39
s33,40,100,60,80,22
